01-Mar-2017 23:29:02	57
57
Subject	Trial	Change	ClickX	ClickY	ReportedChange	Accuracy	RT
99	1	4	7.263711e+02	2.523945e+02	3	0	2.276241
99	2	4	9.574453e+02	5.239609e+02	4	1	1.312320
99	3	2	8.443438e+02	2.891523e+02	2	1	1.503858
99	4	5	9.541992e+02	5.410898e+02	5	1	1.353431
99	5	3	9.636094e+02	5.407656e+02	4	0	1.238060
99	6	5	8.301250e+02	2.822734e+02	4	0	1.683507
99	7	4	1.087227e+03	2.910742e+02	4	1	1.390067
99	8	5	9.486602e+02	5.452070e+02	1	0	1.279500
99	9	1	7.042422e+02	5.065781e+02	4	0	1.399381
99	10	4	9.621680e+02	6.571094e+02	3	0	1.481342
99	11	5	8.545703e+02	6.581328e+02	2	0	1.223064
